market,feature_time,hour,day_of_week,avg_rate,weighted_avg_rate,min_rate,max_rate,total_amount,avg_period,offer_count,demand_count,rate_spread,previous_weighted_avg_rate,rate_change,amount_change,target_next_weighted_avg_rate
fBTC,2026-07-23T16:44:18.871684+00:00,16,3,3.820912296945713e-08,4.100881301493682e-08,1e-08,4.1286e-08,1131.50877487,22.074074074074073,435,2,3.1286000000000006e-08,4.1002791082160604e-08,6.021932776216722e-12,-13.00944617999994,4.103981370883745e-08
fBTC,2026-07-23T18:36:33.282825+00:00,18,3,3.8216089369457125e-08,4.103981370883745e-08,1e-08,4.1286e-08,1103.8218295899999,22.074074074074073,437,2,3.1286000000000006e-08,4.100881301493682e-08,3.1000693900628876e-11,-27.686945280000145,4.103964253233784e-08
fBTC,2026-07-23T20:19:32.474911+00:00,20,3,3.858879135464231e-08,4.103964253233784e-08,1e-08,4.1286e-08,1101.39579387,23.11111111111111,436,2,3.1286000000000006e-08,4.103981370883745e-08,-1.7117649960852555e-13,-2.4260357199998452,4.1083794676974076e-08
fBTC,2026-07-23T22:13:32.028915+00:00,22,3,3.898077150279046e-08,4.1083794676974076e-08,1e-08,4.33e-08,1102.97509848,22.074074074074073,443,2,3.33e-08,4.103964253233784e-08,4.415214463623496e-11,1.5793046100000083,4.1104665759077243e-08
fBTC,2026-07-23T23:11:00.836238+00:00,23,3,3.90212917398275e-08,4.1104665759077243e-08,1e-08,4.37e-08,1103.14196674,21.77777777777778,454,2,3.3700000000000004e-08,4.1083794676974076e-08,2.087108210316751e-11,0.1668682600000011,4.110921284685261e-08
fBTC,2026-07-24T00:09:33.347704+00:00,0,4,3.8880771502790465e-08,4.110921284685261e-08,1e-08,4.37e-08,1098.72283501,21.77777777777778,459,2,3.3700000000000004e-08,4.1104665759077243e-08,4.547087775367652e-12,-4.419131730000117,4.1119431896927e-08
fBTC,2026-07-24T03:40:35.307397+00:00,3,4,3.917529861390157e-08,4.1119431896927e-08,1e-08,4.4e-08,1084.97349284,20.85185185185185,463,2,3.4e-08,4.110921284685261e-08,1.0219050074389282e-11,-13.749342169999863,4.108015208989442e-08
fBTC,2026-07-24T06:38:16.879930+00:00,6,4,3.905533049538305e-08,4.108015208989442e-08,1e-08,4.33e-08,1047.78956649,25.59259259259259,460,2,3.33e-08,4.1119431896927e-08,-3.9279807032581446e-11,-37.18392635000009,4.1022193044573925e-08
fBTC,2026-07-24T09:32:43.093104+00:00,9,4,3.888147692501268e-08,4.1022193044573925e-08,1e-08,4.27e-08,1124.71455709,22.074074074074073,458,2,3.2699999999999995e-08,4.108015208989442e-08,-5.795904532049429e-11,76.9249906,4.1020499647665125e-08
fBTC,2026-07-24T11:55:01.996224+00:00,11,4,3.752464320649417e-08,4.1020499647665125e-08,1e-08,4.25e-08,1122.59564968,22.25925925925926,460,2,3.249999999999999e-08,4.1022193044573925e-08,-1.6933969088000666e-12,-2.11890741000002,4.101618351993745e-08
fBTC,2026-07-24T14:09:56.249761+00:00,14,4,3.817605405093861e-08,4.101618351993745e-08,1e-08,4.1286e-08,1127.32852935,21.037037037037038,456,2,3.1286000000000006e-08,4.1020499647665125e-08,-4.3161277276775425e-12,4.732879670000102,4.1014066641202505e-08
fBTC,2026-07-24T15:42:51.700444+00:00,15,4,3.8525304717605274e-08,4.1014066641202505e-08,1e-08,4.1286e-08,1128.98991106,21.037037037037038,463,2,3.1286000000000006e-08,4.101618351993745e-08,-2.116878734941556e-12,1.6613817099998869,4.1023258169345384e-08
fBTC,2026-07-24T17:50:06.462349+00:00,17,4,3.8239801725012686e-08,4.1023258169345384e-08,1e-08,4.1679e-08,1119.57602059,21.48148148148148,459,2,3.1679e-08,4.1014066641202505e-08,9.191528142878234e-12,-9.413890469999842,4.110702343502914e-08
fBTC,2026-07-24T19:44:47.990893+00:00,19,4,3.936280172501268e-08,4.110702343502914e-08,1e-08,4.4e-08,1094.77235667,21.22222222222222,461,2,3.4e-08,4.1023258169345384e-08,8.37652656837594e-11,-24.80366392000019,4.109830514505865e-08
fBTC,2026-07-24T21:19:42.253735+00:00,21,4,3.926309700659565e-08,4.109830514505865e-08,1e-08,4.314097260274e-08,1108.86672059,21.14814814814815,454,2,3.314097260274e-08,4.110702343502914e-08,-8.718289970492792e-12,14.094363920000205,4.109764887731717e-08
fBTC,2026-07-24T23:15:13.733909+00:00,23,4,3.7977111710197874e-08,4.109764887731717e-08,1e-08,4.39e-08,1110.45191568,21.703703703703702,453,2,3.3900000000000006e-08,4.109830514505865e-08,-6.562677414805372e-13,1.5851950899998428,4.1064770037049615e-08
fBTC,2026-07-25T00:15:04.073391+00:00,0,5,3.744029517686454e-08,4.1064770037049615e-08,1e-08,4.36e-08,1115.85284647,21.962962962962962,468,2,3.3599999999999996e-08,4.109764887731717e-08,-3.287884026755467e-11,5.400930790000075,4.106015424047916e-08
fBTC,2026-07-25T03:37:40.869213+00:00,3,5,3.711353209538306e-08,4.106015424047916e-08,1e-08,4.24e-08,1107.01736639,22.37037037037037,455,2,3.24e-08,4.1064770037049615e-08,-4.615796570455244e-12,-8.835480080000025,4.1018472378156756e-08
fBTC,2026-07-25T06:28:08.873374+00:00,6,5,3.730932190279046e-08,4.1018472378156756e-08,1e-08,4.34e-08,1116.08098842,21.85185185185185,458,2,3.3399999999999995e-08,4.106015424047916e-08,-4.168186232240368e-11,9.063622030000033,4.103653244797872e-08
fBTC,2026-07-25T09:11:23.953005+00:00,9,5,3.7726086554236425e-08,4.103653244797872e-08,1e-08,4.1095890410958903e-08,1142.08643247,21.37037037037037,452,2,3.1095890410958906e-08,4.1018472378156756e-08,1.8060069821964613e-11,26.00544405000005,4.104912825754655e-08
fBTC,2026-07-25T10:42:41.813579+00:00,10,5,3.872217209538305e-08,4.104912825754655e-08,1e-08,4.21e-08,1145.2969297,22.074074074074073,454,2,3.21e-08,4.103653244797872e-08,1.259580956782779e-11,3.2104972299998735,4.104963094117545e-08
fBTC,2026-07-25T12:08:41.788991+00:00,12,5,3.8196246169457126e-08,4.104963094117545e-08,1e-08,4.1286e-08,1137.65820117,22.074074074074073,454,2,3.1286000000000006e-08,4.104912825754655e-08,5.026836289043108e-13,-7.63872852999998,4.104989376902569e-08
fBTC,2026-07-25T14:00:05.417376+00:00,14,5,3.869254246575343e-08,4.104989376902569e-08,1e-08,4.23e-08,1144.3524182,22.074074074074073,455,2,3.2300000000000005e-08,4.104963094117545e-08,2.6282785023591124e-13,6.694217030000118,4.106193728513238e-08
fBTC,2026-07-25T15:18:04.118942+00:00,15,5,3.8603653576864534e-08,4.106193728513238e-08,1e-08,4.1286e-08,1130.9672128299999,22.074074074074073,455,2,3.1286000000000006e-08,4.104989376902569e-08,1.2043516106688184e-11,-13.385205370000222,4.107761510425864e-08
fBTC,2026-07-25T17:13:26.076256+00:00,17,5,3.869254246575343e-08,4.107761510425864e-08,1e-08,4.23e-08,1135.28938997,22.074074074074073,466,2,3.2300000000000005e-08,4.106193728513238e-08,1.5677819126260182e-11,4.322177140000122,4.1090697157227705e-08
fBTC,2026-07-25T18:06:46.247829+00:00,18,5,3.842587579908676e-08,4.1090697157227705e-08,1e-08,4.27e-08,1133.30445998,21.77777777777778,470,2,3.2699999999999995e-08,4.107761510425864e-08,1.3082052969067566e-11,-1.984929989999955,4.11224598891958e-08
fBTC,2026-07-25T19:32:56.569191+00:00,19,5,3.9695298021308975e-08,4.11224598891958e-08,1e-08,4.45e-08,1115.2135852,21.22222222222222,471,2,3.45e-08,4.1090697157227705e-08,3.176273196809415e-11,-18.09087478000015,4.111786999940847e-08
fBTC,2026-07-25T21:07:47.404929+00:00,21,5,3.897945357686453e-08,4.111786999940847e-08,1e-08,4.40496e-08,1115.37532709,21.22222222222222,474,2,3.4049599999999995e-08,4.11224598891958e-08,-4.589889787329391e-12,0.16174189000003025,4.111909645230207e-08
fBTC,2026-07-25T22:08:34.699599+00:00,22,5,3.892206098427195e-08,4.111909645230207e-08,1e-08,4.47e-08,1112.65813341,20.925925925925927,473,2,3.47e-08,4.111786999940847e-08,1.2264528936015604e-12,-2.7171936800000367,4.114905141647007e-08
fBTC,2026-07-25T23:10:40.826889+00:00,23,5,3.960897612501268e-08,4.114905141647007e-08,1e-08,4.45536e-08,1123.51547656,21.22222222222222,478,2,3.45536e-08,4.111909645230207e-08,2.995496416800145e-11,10.857343150000133,4.1107154117214763e-08
fBTC,2026-07-26T00:11:49.259975+00:00,0,6,3.9332208006494166e-08,4.1107154117214763e-08,1e-08,4.33e-08,1113.83546116,21.333333333333332,468,2,3.33e-08,4.114905141647007e-08,-4.1897299255309144e-11,-9.680015400000002,4.110161595839725e-08
fBTC,2026-07-26T03:52:53.984693+00:00,3,6,3.897473102871639e-08,4.110161595839725e-08,1e-08,4.3e-08,1117.76748128,25.37037037037037,473,2,3.3000000000000004e-08,4.1107154117214763e-08,-5.5381588175114374e-12,3.932020120000061,4.113441935293646e-08
fBTC,2026-07-26T06:47:32.532184+00:00,6,6,3.95143106435312e-08,4.113441935293646e-08,1e-08,4.46e-08,1092.91088782,21.037037037037038,487,2,3.4600000000000005e-08,4.110161595839725e-08,3.2803394539209586e-11,-24.856593460000113,4.107585173430535e-08
fBTC,2026-07-26T09:22:39.561008+00:00,9,6,3.905554240649417e-08,4.107585173430535e-08,1e-08,4.31e-08,938.52545511,22.37037037037037,381,2,3.31e-08,4.113441935293646e-08,-5.856761863111357e-11,-154.38543270999992,4.110176025616787e-08
fBTC,2026-07-26T11:36:04.587357+00:00,11,6,3.9424157339827504e-08,4.110176025616787e-08,1e-08,4.42e-08,999.63585007,20.925925925925927,397,2,3.42e-08,4.107585173430535e-08,2.5908521862524525e-11,61.110394959999894,4.1107616148766756e-08
